panel,series,scale,ppl,delta_ppl,source
perpendicular,value,1.5,33.61304297134894,11.577300418714646,eval/lm-evaluation-harness/outputs/xsa_ppl_perp_retained_scale_qwen1p7b_20260711/by_model/qwen3_1p7b/kv2_group/perp_1p5/exclude_self/wikitext_2026-07-11T04-32-47.538411.json
perpendicular,residual_attn,0.0,79483.38555756267,79461.33645150243,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit0_2026-08-09T19-55-45.688411.json
perpendicular,residual_attn,0.25,837.7908055362034,815.7416994759653,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit0p25_2026-08-09T19-56-15.273353.json
perpendicular,residual_attn,0.5,40.51863831123961,18.46953225100157,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit0p5_2026-08-09T19-56-12.030462.json
perpendicular,residual_attn,0.75,19.892484634720887,-2.156621425517155,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit0p75_2026-08-09T19-56-15.743859.json
perpendicular,residual_attn,1.0,22.049106060238042,0.0,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit1p0_2026-08-09T19-44-31.340947.json
perpendicular,residual_attn,1.25,28.52002642402926,6.470920363791219,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit1p25_2026-08-09T19-56-14.220323.json
perpendicular,residual_attn,1.5,50.275163500062156,28.226057439824114,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_perp_edit1p5_2026-08-09T19-55-20.164705.json
perpendicular,residual_mlp,0.0,32513157.332869217,32513135.283763155,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit0_2026-08-09T19-55-03.447147.json
perpendicular,residual_mlp,0.25,2547810.2310691876,2547788.1819631276,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit0p25_2026-08-09T19-55-18.877655.json
perpendicular,residual_mlp,0.5,5150.7812521769,5128.732146116662,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit0p5_2026-08-09T19-55-20.708402.json
perpendicular,residual_mlp,0.75,33.78651350065848,11.737407440420437,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit0p75_2026-08-09T19-55-09.571321.json
perpendicular,residual_mlp,1.0,22.049106060238042,0.0,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_para_edit1p0_2026-08-09T19-44-30.758361.json
perpendicular,residual_mlp,1.25,21.65336962340585,-0.3957364368321912,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit1p25_2026-08-09T19-55-19.700793.json
perpendicular,residual_mlp,1.5,26.347893247684482,4.29878718744644,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_mlp/wikitext-residual_mlp_perp_edit1p5_2026-08-09T19-55-19.712530.json
