setting	method	focus_layer	component	layer	alpha	alpha_std	para_abs	para_abs_std	perp_abs	perp_abs_std	x_norm	x_norm_std	delta_norm	delta_norm_std	delta_over_x	delta_over_x_std	para_over_x	para_over_x_std	perp_over_x	perp_over_x_std	perp_ratio	perp_ratio_std	count	run_dir	base_update_norm	base_update_norm_std	error_norm	error_norm_std	error_over_base_update	error_over_base_update_std	para_over_base_update	para_over_base_update_std	perp_over_base_update	perp_over_base_update_std	perp_ratio_to_base_update	perp_ratio_to_base_update_std
awq_native	awq_native_l0	0.0	attn_out	0	-0.0120541369542479	0.004226004704833	0.0451952554285526	0.0141648659482598	0.1979135870933532	0.0285214483737945	3.8522732257843018	0.5188212990760803	0.2036958187818527	0.0271022897213697	0.0547451712191104	0.0154143227264285	0.0120541378855705	0.0042260009795427	0.0532238632440567	0.0154497334733605	0.9420607686042786	0.0407926775515079	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0	3.8522732257843018	0.5188212990760803	0.2036958187818527	0.0271022897213697	0.0547451712191104	0.0154143227264285	0.0120541378855705	0.0042260009795427	0.0532238632440567	0.0154497334733605	0.9420607686042786	0.0407926775515079
awq_native	awq_native_l0	0.0	block_out	0	-0.0291952956467866	0.0066645285114645	0.224218800663948	0.0520146302878856	0.4502042233943939	0.2367095351219177	7.808135509490967	1.257848858833313	0.5135319828987122	0.2190427929162979	0.0636278167366981	0.0159758143126964	0.0291952956467866	0.0066645285114645	0.0551766566932201	0.0190389398485422	0.7316308617591858	0.1577768176794052	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0	7.808135509490967	1.257848858833313	0.5135319828987122	0.2190427929162979	0.0636278167366981	0.0159758143126964	0.0291952956467866	0.0066645285114645	0.0551766566932201	0.0190389398485422	0.7316308617591858	0.1577768176794052
awq_native	awq_native_l0	0.0	mlp_out	0	-0.0434461943805217	0.0104995993897318	0.1981908828020095	0.0463741496205329	0.4035489559173584	0.23660309612751	4.924187183380127	1.8690681457519531	0.4586765766143799	0.2233355343341827	0.0902015939354896	0.010693178512156	0.0434461943805217	0.0104995993897318	0.077299878001213	0.0166610050946474	0.7265346050262451	0.1516359001398086	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0	4.924187183380127	1.8690681457519531	0.4586765766143799	0.2233355343341827	0.0902015939354896	0.010693178512156	0.0434461943805217	0.0104995993897318	0.077299878001213	0.0166610050946474	0.7265346050262451	0.1516359001398086
awq_native	awq_native_l1	1.0	attn_out	1	-0.0117572620511055	0.0076558315195143	0.0321021042764186	0.0240073949098587	0.2249182909727096	0.034520223736763	2.587146520614624	0.3294939696788788	0.2280189245939254	0.0373383536934852	0.0879904851317405	0.0067406552843749	0.0117572620511055	0.0076558315195143	0.0868909284472465	0.0063939969986677	0.9759231209754944	0.0247787702828645	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1	2.587146520614624	0.3294939696788788	0.2280189245939254	0.0373383536934852	0.0879904851317405	0.0067406552843749	0.0117572620511055	0.0076558315195143	0.0868909284472465	0.0063939969986677	0.9759231209754944	0.0247787702828645
awq_native	awq_native_l1	1.0	block_out	1	-0.0163598526269197	0.0116368187591433	0.0625338777899742	0.0451910272240638	0.333385705947876	0.1212540119886398	3.4068033695220947	0.914424479007721	0.3405640125274658	0.125767320394516	0.0981513038277626	0.0108074462041258	0.0172431860119104	0.0102826496586203	0.0961652770638465	0.009982886724174	0.961636245250702	0.0306938271969556	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1	3.4068033695220947	0.914424479007721	0.3405640125274658	0.125767320394516	0.0981513038277626	0.0108074462041258	0.0172431860119104	0.0102826496586203	0.0961652770638465	0.009982886724174	0.961636245250702	0.0306938271969556
awq_native	awq_native_l1	1.0	mlp_out	1	-0.0282112788408994	0.0236609112471342	0.06278907507658	0.0425820276141166	0.2455454468727111	0.1311171352863311	2.155550956726074	0.9247154593467712	0.2561551630496979	0.1327572911977768	0.1158738806843757	0.0201883185654878	0.0300393719226121	0.0212920438498258	0.1104057133197784	0.0170055218040943	0.918161392211914	0.0861294046044349	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1	2.155550956726074	0.9247154593467712	0.2561551630496979	0.1327572911977768	0.1158738806843757	0.0201883185654878	0.0300393719226121	0.0212920438498258	0.1104057133197784	0.0170055218040943	0.918161392211914	0.0861294046044349
awq_native	awq_native_l10	10.0	attn_out	10	-0.015597584657371	0.0221028998494148	0.2154441326856613	0.1599591225385666	1.5597352981567385	0.1821419894695282	9.636845588684082	1.359122395515442	1.5819010734558103	0.1885265260934829	0.1647451967000961	0.0079590640962123	0.0219598859548568	0.0157983005046844	0.1624970734119415	0.0081975916400551	0.973171055316925	0.0306248124688863	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10	9.636845588684082	1.359122395515442	1.5819010734558103	0.1885265260934829	0.1647451967000961	0.0079590640962123	0.0219598859548568	0.0157983005046844	0.1624970734119415	0.0081975916400551	0.973171055316925	0.0306248124688863
awq_native	awq_native_l10	10.0	block_out	10	-0.0246980357915163	0.0069669028744101	0.4090079069137573	0.1455513834953308	2.431581735610962	0.4649032354354858	16.548221588134766	3.941051959991455	2.468583822250366	0.4725371897220611	0.1507075875997543	0.0082045188173651	0.0246980357915163	0.0069669070653617	0.1484845280647277	0.0085965367034077	0.9704985618591307	0.0160037856549024	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10	16.548221588134766	3.941051959991455	2.468583822250366	0.4725371897220611	0.1507075875997543	0.0082045188173651	0.0246980357915163	0.0069669070653617	0.1484845280647277	0.0085965367034077	0.9704985618591307	0.0160037856549024
awq_native	awq_native_l10	10.0	mlp_out	10	-0.0286379028111696	0.0075907837599515	0.4301870763301849	0.1400688588619232	2.376770257949829	0.4347008764743805	15.17504596710205	3.5631487369537354	2.418473482131958	0.4400782287120819	0.1612692326307296	0.0101859243586659	0.0286379065364599	0.0075907683931291	0.1585027873516082	0.0105182537809014	0.9657846093177797	0.0194609332829713	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10	15.17504596710205	3.5631487369537354	2.418473482131958	0.4400782287120819	0.1612692326307296	0.0101859243586659	0.0286379065364599	0.0075907683931291	0.1585027873516082	0.0105182537809014	0.9657846093177797	0.0194609332829713
awq_native	awq_native_l11	11.0	attn_out	11	-0.0278783719986677	0.0154004367068409	0.2319256216287613	0.110063686966896	1.407530665397644	0.153067409992218	8.743943214416504	1.401208996772766	1.4317668676376345	0.1432462781667709	0.1661523431539535	0.0203963387757539	0.0278783719986677	0.0154004367068409	0.1631424278020858	0.0198188107460737	0.9649866223335266	0.0291305910795927	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l11	8.743943214416504	1.401208996772766	1.4317668676376345	0.1432462781667709	0.1661523431539535	0.0203963387757539	0.0278783719986677	0.0154004367068409	0.1631424278020858	0.0198188107460737	0.9649866223335266	0.0291305910795927
