layer	num_common_tensors	delta_norm	dense_norm	rel_delta_norm	cosine_mean
0	4	3.771373950819047	56.89582575723532	0.0662856000528202	0.9919151755678106
1	4	10.898570991109004	44.740122866562245	0.24359725214912964	0.9760212173974719
2	4	14.190622789855485	52.25348652717835	0.2715727453415876	0.9715232399162507
3	4	20.962291707133254	48.495640139118755	0.43225105694035637	0.9827732616609479
4	4	9.256538655267224	45.84329887015068	0.20191694060861548	0.9864127946430272
5	4	13.818300156722094	52.458303592598696	0.26341492595791277	0.9928896904619778
6	4	11.850946376337289	39.8250385046552	0.29757526474084933	0.9788789765414142
7	4	10.744546636841218	42.602729793916275	0.25220324352022044	0.9891860677946372
8	4	11.58976714496553	42.42590448007625	0.2731766661664982	0.9959188927669211
9	4	14.30519876701886	44.78873600476507	0.31939277691375195	0.9915210690539913
10	4	9.046047316618337	47.00575164120135	0.1924455412534946	0.995518983113783
11	4	20.326089467841435	46.22460437114626	0.43972446588486386	0.9952648296156079
12	4	17.714817876537577	45.1490720885942	0.3923628339864107	0.9933028716615065
13	4	14.740086701133148	44.99705759126925	0.32757890160340525	0.9934249578561672
14	4	19.666730167267538	48.0787082705466	0.4090527985194547	0.9955133936327111
15	4	20.686972826473284	49.39316910287814	0.41882254575294814	0.9944718502133204
16	4	33.1630073810186	54.18942672396884	0.6119829897803676	0.9965624572577274
17	4	27.11912050885903	53.37347648706321	0.5081010699280987	0.994462396319712
18	4	28.842100837262464	54.54754915823939	0.5287515439711716	0.9950047339406568
19	4	43.6110614158562	59.66942057520743	0.7308779102503392	0.9940020699008327
20	4	43.49761970597524	58.156306271687704	0.7479433013294937	0.9927513010486881
21	4	50.47749649086447	61.07093821454032	0.8265387427574566	0.9920296289544515
22	4	74.57396932151995	69.80904228761436	1.0682565879399122	0.9901090100501827
23	4	74.18391750572376	69.44665922510413	1.0682143436916713	0.988943984193182
24	4	42.57186437752039	75.61271363606978	0.5630252153417252	0.9896177959685967
25	4	66.84227742877844	75.3718052801797	0.886833971672903	0.9892151096337576
26	4	78.36116608954661	85.66586467998843	0.9147303465887014	0.9882800956332686
27	4	77.95479084667907	91.46023686045413	0.852335326504992	0.985868715216413
28	4	70.77846106054064	91.83943921831492	0.7706761023691635	0.9832967860244586
29	4	78.92151219471731	114.0896421843573	0.6917500194030598	0.9736359046983399
30	4	130.1623339737011	133.64700295651144	0.9739263215356632	0.9834022769662721
31	4	102.78524395165712	148.2614912800661	0.6932699992710561	0.9821248664536142
32	4	209.59091132492603	177.8868953760312	1.1782256971873977	0.9668782423120706
33	4	152.8136486110336	246.1892124875103	0.6207162656194214	0.9830087040229054
34	4	185.1401464130399	252.05499691307477	0.7345228171647336	0.9679210624339464
35	4	159.96114086019952	231.91997234796108	0.6897255947418011	0.9851396039766965
