layer	num_common_tensors	delta_norm	dense_norm	rel_delta_norm	cosine_mean
0	11	67.58749880817234	237.1270764023276	0.2850264922656843	0.9565814873602627
1	11	53.99303829296205	200.31531321864722	0.2695402434562146	0.9655137395081316
2	11	51.09843908385066	197.68132718901506	0.258488951943308	0.9678456093185086
3	11	60.83265196376464	221.28797042072014	0.27490266121609575	0.9618220962299416
4	11	73.6095792136961	247.83284005588584	0.2970130156967788	0.9511988013563255
5	11	69.34666196743335	246.13798259205612	0.28173897111347923	0.9572072669804131
6	11	66.98999726393404	243.4104969663883	0.27521408525444346	0.9607815884986147
7	11	68.87725272832434	243.26088299606573	0.2831415058599384	0.9578321358166061
8	11	65.78519943355843	241.71822039549141	0.2721565603367543	0.9616421182721966
9	11	68.2051609584714	241.89848830755665	0.28195778086778867	0.9584232069850046
10	11	65.50935291216418	244.11270552233267	0.26835699834628657	0.9626116208322175
11	11	65.75697891577691	244.20530241268978	0.2692692511837939	0.9622893654391771
12	11	65.43212561007695	243.86187858726413	0.26831633541551086	0.9626119173614885
13	11	66.18536019739062	241.90858348358265	0.2735965762119489	0.960901689153764
14	11	63.87938515233078	239.79763647291227	0.26638871880435167	0.9630224532669714
15	11	63.16025523851463	236.51086520027238	0.26705012129160266	0.9627030780381494
16	11	63.49295177571053	237.57416294482766	0.2672552898374544	0.9623470217010828
17	11	63.706581430813344	236.87883250514508	0.2689416388837935	0.9618075262493876
18	11	62.34146120686876	235.74805000550472	0.26444104714933203	0.9630729262927973
19	11	62.2964606670666	237.00838935745853	0.2628449601972124	0.9631345563648142
20	11	64.07286786131961	236.93134816294315	0.2704279883523696	0.9608451998842392
21	11	63.32524129726852	236.0102627232344	0.268315625628234	0.9612908724883483
22	11	64.99746712736818	241.76328736036618	0.26884754851337134	0.9604026637345356
23	11	66.77750780498218	246.7195748901197	0.2706615712787384	0.959961908786809
24	11	69.4177008325308	250.7516219340865	0.27683849179957926	0.9573498148212981
25	11	69.71653350529402	250.38236070657015	0.2784402755392051	0.9566875460730397
26	11	70.39848000382348	255.8998623082907	0.2751016720712893	0.9567629360784252
27	11	71.09512543976854	257.8806802342143	0.27569000273769245	0.9557834171988078
28	11	71.65107520343086	259.5306981559536	0.2760793837204387	0.9557840271297687
29	11	73.9602671439619	271.5775238088492	0.27233574452950343	0.9541701577215546
30	11	73.50438838247423	279.8603549018179	0.26264666321980984	0.9546021297442085
31	11	73.73232959845457	289.35288132595116	0.2548180244847686	0.9554656308178822
32	11	73.15436384809118	304.70944883656875	0.24007907902891323	0.9558599820661497
33	11	73.59052567198353	349.0958888167821	0.21080318625753408	0.9553626909246723
34	11	74.4767461232478	350.1070969843443	0.21272561100518958	0.9521131748097577
35	11	77.22959274971016	336.76435568794795	0.2293282868133245	0.9476283726457129
