status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	15	5	52.73	16.7649	49.79	61.53		29.8	69.8		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	17	8	51.56	16.7649	49.79	61.53	44.35	29.8	69.8	52.71	52.96
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	18	4	38.26	707392116840000.5	24.96	37.86			51.96		
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	19	8	38.87	706826072815081.0	24.96	37.83	25.58	29.8	51.8	52.71	49.41
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337	20	5	39.87	2085.1151	30.09	48.04		24.6	56.75		
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337	21	8	41.1	1170.3582	28.24	43.3	25.8	31.4	56.31	52.35	50.28
exclude	incomplete_metrics_lt_6	0p7b	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	22	5	51.77	20.6698	49.41	59.42		28.6	69.64		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	23	5	56.35	11.4532	56.4	61.56		35.2	72.25		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	25	5	36.0	702842327147412.9	25.08	37.83		29.4	51.69		
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	26	8	38.79	704019717240557.5	24.92	38.32	25.58	29.4	51.58	52.71	49.01
