status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
keep	main_analysis	2p7b	xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	75	8	49.05	8.5781	42.89	57.83	31.56	33.6	67.95	57.4	52.09
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	65	8	45.49	14.4106	37.71	60.49	26.45	33.6	59.19	52.35	48.62
exclude	unstable_lambada_gt_1000	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr3e-4-min3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr3e-4-min3e-5-s1337-lrlr10	66	8	42.01	1.6796286670076563e+20	25.34	62.17	25.71	30.2	52.01	48.38	50.28
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr3e-4-min3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr3e-4-min3e-5-s1337-lrlr10	67	8	42.01	1.6796286670076563e+20	25.34	62.17	25.71	30.2	52.01	48.38	50.28
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10	69	8	52.02	17.2856	51.64	59.63	44.83	30.2	70.73	53.07	54.06
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	71	8	42.01	1.6796286670076563e+20	25.34	62.17	25.71	30.2	52.01	48.38	50.28
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	73	8	48.56	9.1163	45.75	58.47	29.96	31.8	67.9	54.51	51.54
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	76	8	48.65	8.8273	44.49	62.35	30.56	32.6	67.25	51.99	51.3
exclude	unstable_lambada_gt_1000	2p7b	xsa-paper-2p7b-xsa-lgate	xsa-paper-2p7b-xsa-lgate	77	8	44.05	111102.4292	30.05	61.22	27.17	30.4	54.73	54.51	50.28
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-xsa-lgate	xsa-paper-2p7b-xsa-lgate	78	8	42.5	99997.3575	29.76	50.24	27.07	32.2	55.01	53.43	49.8
exclude	unstable_lambada_gt_1000	2p7b	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	79	8	41.96	1.7140799151318178e+20	24.75	61.8	25.66	30.2	51.69	47.29	52.33
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	80	8	41.96	1.7140799151318178e+20	24.75	61.8	25.66	30.2	51.69	47.29	52.33
exclude	unstable_lambada_gt_1000	2p7b	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	81	8	42.81	51897.1404	29.08	53.09	27.3	29.8	56.64	51.99	51.78
exclude	unstable_lambada_gt_1000	2p7b	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	82	8	41.96	1.7140799151318178e+20	24.75	61.8	25.66	30.2	51.69	47.29	52.33
exclude	duplicate_noncanonical	2p7b	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	83	8	41.96	1.7140799151318178e+20	24.75	61.8	25.66	30.2	51.69	47.29	52.33
exclude	incomplete_metrics_lt_6	other	attnres-forward-only-xobjnone-s1337	attnres-forward-only-xobjnone-s1337	2	5	46.28	93.2974	39.69	58.29		28.2	58.92		
exclude	incomplete_metrics_lt_6	other	baseline	baseline	3	5	48.1	44.4945	43.9	59.69		28.4	60.39		
exclude	incomplete_metrics_lt_6	other	baseline-20260325-024352	baseline-20260325-024352	4	5	44.92	159.512	38.43	56.48		25.6	59.19		
exclude	incomplete_metrics_lt_6	other	baseline-s1337	baseline-s1337	5	3	48.59	343.5994	36.32	60.86					
exclude	incomplete_metrics_lt_6	other	residual-dualgate-param-rlr1.0-ap1.0-mp1.0-bs1.0-s1337	residual-dualgate-param-rlr1.0-ap1.0-mp1.0-bs1.0-s1337	6	2	46.26		39.39	53.12					
exclude	incomplete_metrics_lt_6	other	residual-dualgate-wx-rlr0.001-wx1.0-bwx1.0-s1337	residual-dualgate-wx-rlr0.001-wx1.0-bwx1.0-s1337	7	1	27.0					27.0			
