model,ckpt_label,checkpoint_name,save_step,tokens_seen_b,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,rte,winogrande,avg
0p7,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10,,,49.79,61.53,44.35,16.7649,29.8,69.8,52.71,52.96,51.56
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt.pt,60000.0,62.915,32.2,59.27,29.37,5712.9363,30.2,57.45,,50.83,43.22
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt_best.pt,57000.0,59.769,33.21,61.71,29.5,2633.79,31.8,55.93,52.71,49.25,44.87
1p4,xsa-paper-1p4b-xsa-lgate,ckpt.pt,34000.0,35.652,32.24,52.42,30.05,4170.8366,30.2,57.67,,49.8,42.06
1p4,xsa-paper-1p4b-xsa-lgate,ckpt_best.pt,31000.0,32.506,31.27,55.08,29.76,1803.5552,32.4,58.05,51.26,50.12,43.99
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt.pt,22000.0,23.069,30.09,42.57,29.42,1645.4787,30.8,55.39,,50.51,39.8
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt_best.pt,22000.0,23.069,27.44,46.33,29.59,1628.4774,33.4,56.64,53.07,50.83,42.47
1p4,xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt.pt,14000.0,14.68,52.02,61.13,47.98,14.2795,31.8,70.35,,51.22,52.42
1p4,xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt_best.pt,11000.0,11.534,52.27,60.24,45.25,15.1088,30.4,71.11,47.65,52.41,51.33
1p4,xsa-paper-1p4b-baseline-fineweb100bt-ctx2048-gb256-lr4e-4-s1337,ckpt.pt,186000.0,,43.86,,38.8,9.815,27.2,65.56,,51.46,45.38
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337,ckpt.pt,87000.0,,28.83,54.98,28.44,9358.9728,29.2,56.86,,51.7,41.67
1p4,xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337,ckpt_best.pt,84000.0,,29.08,53.43,29.4,8440.7312,30.4,56.42,52.35,51.14,43.17
1p4,xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337,ckpt.pt,36000.0,,30.77,53.91,29.99,7459.2032,31.0,58.76,50.54,53.12,44.01
1p4,xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337,ckpt_best.pt,31000.0,,31.94,60.55,29.7,10579.8042,29.0,59.85,51.62,52.41,45.01
1p4,xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr4e-4-s1337,ckpt.pt,15000.0,,31.1,53.27,30.0,1946.7583,33.6,57.24,50.18,50.59,43.71
2p7,xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10,ckpt.pt,44000.0,46.137,42.89,57.83,31.56,8.5781,33.6,67.95,57.4,52.09,49.05
2p7,xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10,ckpt_best.pt,40000.0,41.943,44.49,62.35,30.56,8.8273,32.6,67.25,51.99,51.3,48.65
2p7,xsa-paper-2p7b-xsa-lgate,ckpt.pt,24000.0,12.583,30.05,61.22,27.17,111102.4292,30.4,54.73,54.51,50.28,44.05
2p7,xsa-paper-2p7b-xsa-lgate,ckpt_best.pt,24000.0,12.583,29.76,50.24,27.07,99997.3575,32.2,55.01,53.43,49.8,42.5
2p7,xsa-paper-2p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr3e-4-s1337,ckpt.pt,60000.0,,29.08,53.09,27.3,51897.1404,29.8,56.64,51.99,51.78,42.81
