setting_type	setting_raw	setting_value	alpha	perp	gamma	n_rows	n_delta_ppl	n_delta_loss	mean_delta_ppl	median_delta_ppl	win_rate_delta_ppl_lt_0	worst_case_delta_ppl	best_case_delta_ppl	mean_delta_loss	median_delta_loss	worst_case_delta_loss	best_case_delta_loss	stats.batch_size	stats.gen_use_cache	stats.sites.residual_output.batch_size	stats.sites.residual_output.gen_use_cache	stats.sites.residual_output.targets.attn.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.attn.layer_window.n_active_layers	stats.sites.residual_output.targets.attn.layer_window.n_layers	stats.sites.residual_output.targets.attn.layer_window.skip_first_n	stats.sites.residual_output.targets.attn.layer_window.skip_last_n	stats.sites.residual_output.targets.attn.layer_window.start_layer	stats.sites.residual_output.targets.attn.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.attn.layer_window.track_stats	stats.sites.residual_output.targets.attn.layer_window.xsa_alpha	stats.sites.residual_output.targets.attn.layer_window.xsa_perp_scale	stats.sites.residual_output.targets.both.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.both.layer_window.n_active_layers	stats.sites.residual_output.targets.both.layer_window.n_layers	stats.sites.residual_output.targets.both.layer_window.skip_first_n	stats.sites.residual_output.targets.both.layer_window.skip_last_n	stats.sites.residual_output.targets.both.layer_window.start_layer	stats.sites.residual_output.targets.both.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.both.layer_window.track_stats	stats.sites.residual_output.targets.both.layer_window.xsa_alpha	stats.sites.residual_output.targets.both.layer_window.xsa_perp_scale	stats.sites.residual_output.targets.mlp.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.mlp.layer_window.n_active_layers	stats.sites.residual_output.targets.mlp.layer_window.n_layers	stats.sites.residual_output.targets.mlp.layer_window.skip_first_n	stats.sites.residual_output.targets.mlp.layer_window.skip_last_n	stats.sites.residual_output.targets.mlp.layer_window.start_layer	stats.sites.residual_output.targets.mlp.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.mlp.layer_window.track_stats	stats.sites.residual_output.targets.mlp.layer_window.xsa_alpha	stats.sites.residual_output.targets.mlp.layer_window.xsa_perp_scale	stats.sites.residual_output.use_chat_template	stats.sites.residual_output.xsa_alpha	stats.sites.residual_output.xsa_layer_selection.xsa_end_layer	stats.sites.residual_output.xsa_layer_selection.xsa_skip_first_n	stats.sites.residual_output.xsa_layer_selection.xsa_skip_last_n	stats.sites.residual_output.xsa_layer_selection.xsa_start_layer	stats.sites.residual_output.xsa_layerwise_stats	stats.sites.residual_output.xsa_perp_scale	stats.sites.residual_output.xsa_track_stats	stats.sites.xsa_middle.batch_size	stats.sites.xsa_middle.gen_use_cache	stats.sites.xsa_middle.targets.attn.layer_window.end_layer_exclusive	stats.sites.xsa_middle.targets.attn.layer_window.n_active_layers	stats.sites.xsa_middle.targets.attn.layer_window.n_layers	stats.sites.xsa_middle.targets.attn.layer_window.skip_first_n	stats.sites.xsa_middle.targets.attn.layer_window.skip_last_n	stats.sites.xsa_middle.targets.attn.layer_window.start_layer	stats.sites.xsa_middle.targets.attn.layer_window.track_layerwise_stats	stats.sites.xsa_middle.targets.attn.layer_window.track_stats	stats.sites.xsa_middle.targets.attn.layer_window.xsa_alpha	stats.sites.xsa_middle.targets.attn.layer_window.xsa_perp_scale	stats.sites.xsa_middle.use_chat_template	stats.sites.xsa_middle.xsa_alpha	stats.sites.xsa_middle.xsa_layer_selection.xsa_end_layer	stats.sites.xsa_middle.xsa_layer_selection.xsa_skip_first_n	stats.sites.xsa_middle.xsa_layer_selection.xsa_skip_last_n	stats.sites.xsa_middle.xsa_layer_selection.xsa_start_layer	stats.sites.xsa_middle.xsa_layerwise_stats	stats.sites.xsa_middle.xsa_perp_scale	stats.sites.xsa_middle.xsa_track_stats	stats.sites.xsa_middle_multihead.batch_size	stats.sites.xsa_middle_multihead.gen_use_cache	stats.sites.xsa_middle_multihead.targets.attn.layer_window.end_layer_exclusive	stats.sites.xsa_middle_multihead.targets.attn.layer_window.n_active_layers	stats.sites.xsa_middle_multihead.targets.attn.layer_window.n_layers	stats.sites.xsa_middle_multihead.targets.attn.layer_window.skip_first_n	stats.sites.xsa_middle_multihead.targets.attn.layer_window.skip_last_n	stats.sites.xsa_middle_multihead.targets.attn.layer_window.start_layer	stats.sites.xsa_middle_multihead.targets.attn.layer_window.track_layerwise_stats	stats.sites.xsa_middle_multihead.targets.attn.layer_window.track_stats	stats.sites.xsa_middle_multihead.targets.attn.layer_window.xsa_alpha	stats.sites.xsa_middle_multihead.targets.attn.layer_window.xsa_perp_scale	stats.sites.xsa_middle_multihead.use_chat_template	stats.sites.xsa_middle_multihead.xsa_alpha	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_end_layer	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_skip_first_n	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_skip_last_n	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_start_layer	stats.sites.xsa_middle_multihead.xsa_layerwise_stats	stats.sites.xsa_middle_multihead.xsa_perp_scale	stats.sites.xsa_middle_multihead.xsa_track_stats	stats.use_chat_template	stats.xsa_layer_selection.xsa_end_layer	stats.xsa_layer_selection.xsa_skip_first_n	stats.xsa_layer_selection.xsa_skip_last_n	stats.xsa_layer_selection.xsa_start_layer
alpha	0.0_perp_1.0	0	0	1		8	8	8	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.0	1	1	0		8	8	8	1015233.19333967	1007224.02235706	0.00000000	1979038.21208916	515027.73881513	9.82738537	9.67481578	11.14362121	8.59502268	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.1	1	1	0.1		8	8	8	53313.06129746	43661.18714459	0.00000000	117711.67149868	21801.52556660	6.82761795	6.80709327	8.57017374	4.79008818	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.10000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.10000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.10000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.10000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.10000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.2	1	1	0.2		8	8	8	2860.62085494	2245.37443297	0.00000000	6430.42759861	707.43401849	3.87212199	3.91753304	4.83222580	3.01298857	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.20000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.20000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.20000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.20000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.20000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.25	1	1	0.25		8	8	8	1453.96976713	1030.12057336	0.00000000	3409.11026284	194.96494964	3.07989693	3.00791156	3.81029606	2.49020433	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.25000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.25000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.25000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.25000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.25000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.3	1	1	0.3		8	8	8	626.25384843	378.10269612	0.00000000	1917.28670917	96.60132955	2.24729967	2.21845019	2.76917267	1.84030008	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.30000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.30000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.30000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.30000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.30000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.4	1	1	0.4		8	8	8	98.73725676	41.60791469	0.00000000	308.18577650	22.11797085	0.84178936	0.88634920	1.61342335	0.32319307	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.40000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.40000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.40000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.40000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.40000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.5	1	1	0.5		8	8	8	4.44489358	3.44003467	0.37500000	42.23537047	-42.74477402	0.12674966	0.12889159	0.45714712	-0.22961521	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.6	1	1	0.6		8	8	8	-7.79202323	-1.71616030	0.75000000	19.08424630	-76.50284635	-0.03737816	-0.03377199	0.28668404	-0.45758200	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.60000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.60000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.60000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.60000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.60000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.7	1	1	0.7		8	8	8	-10.05438799	-4.85373642	0.75000000	13.87724508	-58.28038249	-0.11187556	-0.12402415	0.21625471	-0.32812405	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.70000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.70000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.70000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.70000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.70000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.75	1	1	0.75		8	8	8	-9.09310633	-4.33674743	0.75000000	10.49617673	-43.68290412	-0.09869489	-0.12800729	0.16771460	-0.27841973	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.75000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.75000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.75000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.75000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.75000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.8	1	1	0.8		8	8	8	-8.67759283	-4.05651261	0.75000000	5.79173435	-33.68292846	-0.10771609	-0.12487745	0.09599829	-0.27878165	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.80000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.80000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.80000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.80000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.80000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_0.9	1	1	0.9		8	8	8	-6.69885122	-2.26098053	0.87500000	1.15106455	-28.69323956	-0.06869418	-0.07292307	0.01982689	-0.14817286	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.90000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.90000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.90000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.90000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.90000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_1.0	1	1	1		8	8	8	-0.59582949	0.00448590	0.50000000	1.38568492	-3.08677426	-0.00108713	-0.00252533	0.02382040	-0.01856947	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_1.25	1	1	1.25		8	8	8	30.15187706	16.92971827	0.00000000	84.93291134	2.32657195	0.28686533	0.29801727	0.49381399	0.12463260	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.25000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.25000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.25000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.25000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.25000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.25000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	1.0_perp_1.5	1	1	1.5		8	8	8	75.05577965	39.09110227	0.00000000	195.34115387	6.17740249	0.63452837	0.55737615	1.19997025	0.28691292	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.50000000	1.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.50000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
