Step,project_20260402_c4b7f427/run_20260430_ec495f6e/cn,project_20260402_c4b7f427/run_20260418_7f2e761c/cn,project_20260402_c4b7f427/run_20260413_28369450/cn
26462,,2.860003,
26563,,2.916518,
26664,,2.873052,
26765,,2.871810,
26866,,2.904943,
26967,,2.881133,
27068,,2.868912,
27169,,2.869730,
27270,,2.898759,
27371,,2.883525,
27472,,2.862677,
27573,,2.861097,
27674,,2.845847,
27775,,2.852753,
27876,,2.878233,
27977,,2.904616,
28078,,2.873858,
28179,,2.868550,
28280,,2.867523,
28381,,2.850863,
28482,,2.854804,
28583,,6.059121,
28684,,2.845295,
28785,,2.867769,
28886,,2.849094,
28987,,2.853626,
29088,,2.863538,
29189,,2.849730,
29290,,2.856786,
29391,,2.867344,
29492,,2.861518,
29593,,2.859421,
29694,,2.854197,
29795,,2.839987,
29896,,2.851471,
29997,,2.863719,
30098,,2.840040,
30199,,2.843224,
30300,,2.847996,
30401,,2.840021,
30502,,7.624135,
30603,,6.499116,
30704,,6.407717,
30805,,2.898856,
30906,,6.612509,
31007,,2.940194,
31108,,2.902848,
31209,,7.022029,
31310,,2.871997,
31411,,4.071730,
31512,,2.879197,
31613,,2.865816,
31714,,2.858906,
31815,,2.866616,
31916,,2.862590,
32017,,2.937124,
32118,,2.878820,
32219,,2.854434,
32320,,3.338828,
