model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
194m,Value-Space Rotation,run_20260430_64819a98,Step,1010.0,3.091787,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1111.0,3.069279,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1212.0,3.050745,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1313.0,3.04552,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1414.0,3.028592,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1515.0,3.02314,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1616.0,3.010875,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1717.0,3.001944,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1818.0,2.982049,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,1919.0,2.988187,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2020.0,2.97309,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2121.0,2.971859,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2222.0,2.967692,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2323.0,2.960032,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2424.0,2.968471,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2525.0,2.957891,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2626.0,2.951166,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2727.0,2.944552,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2828.0,2.947767,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,2929.0,2.941236,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3030.0,2.933825,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3131.0,2.930022,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3232.0,2.933205,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3333.0,2.927488,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3434.0,2.934336,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3535.0,2.920317,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3636.0,2.917605,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3737.0,2.918838,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3838.0,2.916398,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,3939.0,2.921299,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,4040.0,2.913442,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,4141.0,2.901752,600,4242.0
194m,Value-Space Rotation,run_20260430_64819a98,Step,4242.0,2.902781,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,606.0,3.205891,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,707.0,3.161493,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,808.0,3.114381,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,909.0,3.097925,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1010.0,3.067724,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1111.0,3.042676,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1212.0,3.022804,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1313.0,3.013255,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1414.0,2.997306,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1515.0,2.989455,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1616.0,2.974583,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1717.0,2.963583,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1818.0,2.943043,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,1919.0,2.947109,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2020.0,2.931159,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2121.0,2.930324,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2222.0,2.925229,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2323.0,2.915653,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2424.0,2.921876,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2525.0,2.911441,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2626.0,2.903277,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2727.0,2.897914,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2828.0,2.899319,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,2929.0,2.892433,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3030.0,2.884876,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3131.0,2.878878,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3232.0,2.882567,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3333.0,2.875978,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3434.0,2.881523,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3535.0,2.867907,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3636.0,2.865541,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3737.0,2.86562,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,3838.0,2.863347,600,4242.0
