model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3838.0,2.814847,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3939.0,2.822571,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,4040.0,2.814539,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,4141.0,2.797046,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,4242.0,2.811989,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,606.0,3.173404,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,707.0,3.112773,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,808.0,3.066349,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,909.0,3.054113,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1010.0,3.009362,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1111.0,3.000492,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1212.0,2.962156,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1313.0,2.963197,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1414.0,2.933657,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1515.0,2.935881,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1616.0,2.902903,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1717.0,2.903537,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1818.0,2.904592,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,1919.0,2.887155,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2020.0,2.877644,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2121.0,2.873915,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2222.0,2.860848,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2323.0,2.85559,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2424.0,2.846628,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2525.0,2.838583,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2626.0,2.844573,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2727.0,2.840983,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2828.0,2.83934,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,2929.0,2.820912,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3030.0,2.825389,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3131.0,2.82717,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3232.0,2.814785,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3333.0,2.815637,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3434.0,2.805118,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3535.0,2.810795,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3636.0,2.801128,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3737.0,2.781634,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3838.0,2.796193,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,3939.0,2.803139,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,4040.0,2.799921,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,4141.0,2.781379,600,4242.0
528m,Baseline,run_20260418_7f2e761c,Step,4242.0,2.796072,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,606.0,3.170364,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,707.0,3.108914,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,808.0,3.063454,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,909.0,3.049868,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1010.0,3.007282,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1111.0,2.995972,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1212.0,2.958302,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1313.0,2.958883,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1414.0,2.929288,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1515.0,2.931222,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1616.0,2.89737,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1717.0,2.898746,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1818.0,2.898863,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,1919.0,2.881316,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2020.0,2.871541,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2121.0,2.86796,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2222.0,2.854656,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2323.0,2.850021,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2424.0,2.839025,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2525.0,2.833052,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2626.0,2.838298,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2727.0,2.831204,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2828.0,2.830643,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,2929.0,2.811898,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3030.0,2.817919,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3131.0,2.817826,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3232.0,2.805049,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3333.0,2.805018,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3434.0,2.795037,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3535.0,2.799186,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3636.0,2.790151,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3737.0,2.771691,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3838.0,2.785191,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,3939.0,2.790534,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,4040.0,2.782458,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,4141.0,2.765496,600,4242.0
528m,Residual Rotation,run_20260413_28369450,Step,4242.0,2.781622,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,606.0,3.093034,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,707.0,3.036649,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,808.0,2.998702,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,909.0,2.990239,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1010.0,2.949928,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1111.0,2.943246,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1212.0,2.908383,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1313.0,2.911762,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1414.0,2.885906,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1515.0,2.891034,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1616.0,2.85809,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1717.0,2.861045,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1818.0,2.863149,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,1919.0,2.847433,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2020.0,2.839147,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2121.0,2.836448,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2222.0,2.824848,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2323.0,2.820185,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2424.0,2.811266,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2525.0,2.80593,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2626.0,2.811025,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2727.0,2.805578,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2828.0,2.805195,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,2929.0,2.786785,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3030.0,2.792964,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3131.0,2.794365,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3232.0,2.781898,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3333.0,2.782116,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3434.0,2.772904,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3535.0,2.778528,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3636.0,2.769183,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3737.0,2.751013,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3838.0,2.765327,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,3939.0,2.771107,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,4040.0,2.76352,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,4141.0,2.745653,600,4242.0
528m,Value-Space Rotation,run_20260430_ec495f6e,Step,4242.0,2.761656,600,4242.0
