scope,layer,head,removed_fraction,baseline_loss,edited_loss,delta_loss,baseline_ppl,edited_ppl,delta_ppl,para_ratio,para_over_ref,edit_over_y,edit_over_ref,tokens,samples
baseline,,,1.0,3.0450992601811366,3.0450992601811366,0.0,21.012116765887363,21.012116765887363,0.0,,,,,19526.0,128
single_head,6,0,1.0,3.0450992601811366,3.045146435361825,4.7175180688530105e-05,21.012116765887363,21.01310803967402,0.0009912737866564214,0.19249778737814796,0.13570765352797234,0.3496871392845651,0.13570765450235223,19526.0,128
single_head,6,1,1.0,3.0450992601811366,3.0451588261924805,5.9566011343825664e-05,21.012116765887363,21.01336841115039,0.0012516452630251251,0.18257879985551115,0.121263023659035,0.3290142093429468,0.12126302414622496,19526.0,128
single_head,6,2,1.0,3.0450992601811366,3.045515384535363,0.00041612435422644367,21.012116765887363,21.020862238883453,0.008745472996089632,0.0812521112376246,0.08693798937255548,0.19967539605814227,0.08693798937255548,19526.0,128
single_head,6,3,1.0,3.0450992601811366,3.0455913299494903,0.0004920697683536979,21.012116765887363,21.022458737594107,0.010341971706743891,0.11750148222668721,0.10581495594399795,0.25609068011872155,0.10581495594399795,19526.0,128
single_head,6,4,1.0,3.0450992601811366,3.0454845637507364,0.00038530356959975975,21.012116765887363,21.020214369399696,0.008097603512332796,0.10478172253527099,0.10191298395890082,0.24133286262989653,0.10191298347171086,19526.0,128
single_head,6,5,1.0,3.0450992601811366,3.044409799854201,-0.0006894603269356203,21.012116765887363,20.997634737957878,-0.014482027929485497,0.3888398590672519,0.23914380615546177,0.5253653476369183,0.23914380615546177,19526.0,128
single_head,6,6,1.0,3.0450992601811366,3.0443380305626153,-0.0007612296185213197,21.012116765887363,20.996127806664102,-0.015988959223260935,0.08870756361219619,0.07015563433806711,0.22596642115411478,0.07015563433806711,19526.0,128
single_head,6,7,1.0,3.0450992601811366,3.04560599639183,0.0005067362106934148,21.012116765887363,21.022767064534047,0.01065029864668432,0.13767853465269048,0.12319911308824483,0.3119193046638031,0.12319911357543478,19526.0,128
single_head,6,8,1.0,3.0450992601811366,3.0460858003631377,0.000986540182001061,21.012116765887363,21.03285629189161,0.020739526004245334,0.11821674916936063,0.1329710350182778,0.26568226722921906,0.1329710350182778,19526.0,128
single_head,6,9,1.0,3.0450992601811366,3.0450318295557848,-6.743062535186084e-05,21.012116765887363,21.010699953482685,-0.0014168124046776143,0.47748582628038194,0.3429442297300921,0.5812533752519357,0.3429442297300921,19526.0,128
single_head,6,10,1.0,3.0450992601811366,3.044054279290273,-0.0010449808908634672,21.012116765887363,20.990170973854113,-0.0219457920332502,0.20540382024733347,0.1816584824602266,0.37624468748596895,0.1816584824602266,19526.0,128
single_head,6,11,1.0,3.0450992601811366,3.0462607098788155,0.0011614496976788402,21.012116765887363,21.03653546035035,0.02441869446298739,0.11500098958021532,0.12887322972712997,0.24791196918122158,0.12887322923994005,19526.0,128
single_head,6,12,1.0,3.0450992601811366,3.0444652647631685,-0.0006339954179681584,21.012116765887363,20.99879940215585,-0.013317363731513154,0.1636410578000591,0.09043389535955086,0.2952661253635606,0.09043389535955086,19526.0,128
single_head,6,13,1.0,3.0450992601811366,3.045864240807929,0.000764980626792422,21.012116765887363,21.028196777805803,0.016080011918440107,0.05819252691354179,0.05299100547001279,0.160350535016407,0.05299100547001279,19526.0,128
single_head,6,14,1.0,3.0450992601811366,3.046129124508668,0.0010298643275312713,21.012116765887363,21.03376754215794,0.02165077627057599,0.19255340595659473,0.11190394941113156,0.30707563397832605,0.11190394941113156,19526.0,128
single_head,6,15,1.0,3.0450992601811366,3.0481024549398876,0.0030031947587509933,21.012116765887363,21.075315095775736,0.06319832988837248,0.43622578588025324,0.2899311304396901,0.5076860235416417,0.28993112849093033,19526.0,128
single_head,6,16,1.0,3.0450992601811366,3.044728360483298,-0.00037089969783865584,21.012116765887363,21.004324823231862,-0.007791942655501316,0.07254464915581285,0.0782665155247558,0.18453724691846513,0.0782665155247558,19526.0,128
single_head,6,17,1.0,3.0450992601811366,3.045717113760179,0.0006178535790422046,21.012116765887363,21.02510318887526,0.012986422987896873,0.11100460992766828,0.13515900895665584,0.27152696027305084,0.13515900798227595,19526.0,128
single_head,6,18,1.0,3.0450992601811366,3.045807563072954,0.0007083028918173362,21.012116765887363,21.02700498101632,0.014888215128955551,0.4740060798966565,0.28972756689078966,0.5839002178089828,0.28972756689078966,19526.0,128
single_head,6,19,1.0,3.0450992601811366,3.045662861677219,0.0005636014960823665,21.012116765887363,21.02396256417373,0.011845798286366005,0.09650692653534208,0.11023259168992706,0.24147962957506436,0.11023259168992706,19526.0,128
single_head,6,20,1.0,3.0450992601811366,3.0447463903297205,-0.0003528698514161377,21.012116765887363,21.004703531396647,-0.007413234490716292,0.0799345491489688,0.09275179774063909,0.21028950570643634,0.09275179822782904,19526.0,128
