source,phase,layer,part,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_norm,500,1.2784372856616975,1.2831629514694214,1.114260125160217,1.4218165516853332,1.019386887550354,1.614444375038147
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_para_perp_ratio,500,0.5771912809610367,0.5818491578102112,0.44618657529354094,0.6939732253551484,0.2548462450504303,0.9470942616462708
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_para_ratio,500,0.49543788063138927,0.5029135647778114,0.4074665422706858,0.5701345986892355,0.2469530002208856,0.6876397255389953
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_perp_ratio,500,0.8651135216234151,0.8643366777283867,0.8215513108186986,0.9132201004933045,0.726052040863285,0.9690274585491988
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_self_alignment,500,0.4954378792345524,0.5029135942459106,0.4074665457010269,0.5701345503330231,0.24695299565792084,0.6876397728919983
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,0,attn_update,value_pre_self_value_norm,500,1.9603646330833435,1.950162410736084,1.7503304719924926,2.1797967433929446,1.4623955488204956,2.3875482082366943
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_norm,500,1.547090369462967,1.5254281163215637,1.2005240201950074,1.9267391085624697,1.0056440830230713,2.3633430004119873
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_para_perp_ratio,500,0.2906911719292402,0.2606872022151947,0.16082074940204621,0.43859926462173465,0.07456741482019424,1.2477885484695435
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_para_ratio,500,0.2715904561799425,0.2522566738039105,0.15878056181802094,0.40166354583639763,0.07436096592010037,0.7803288271069336
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_perp_ratio,500,0.9554269825353404,0.9676603998100045,0.9157872946773084,0.9873138941642691,0.6253694225690183,0.9972313619425673
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_self_alignment,500,0.2715904569774866,0.2522566467523575,0.15878055691719054,0.4016635239124298,0.07436095923185349,0.7803288698196411
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,1,attn_update,value_pre_self_value_norm,500,3.3617165260314943,3.5943660736083984,2.028690958023071,3.9848232984542844,1.1600090265274048,4.474607467651367
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_norm,500,1.6597902430295943,1.6327746510505676,1.280292809009552,2.104921627044678,0.744260311126709,2.7516286373138428
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_para_perp_ratio,500,0.26365986379235984,0.2545028179883957,0.13851563930511476,0.3794298678636551,0.02174895815551281,1.380861759185791
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_para_ratio,500,0.25041416402876704,0.2466404648222124,0.13720559608659869,0.35475194044013825,0.02174381677223613,0.8099237592449612
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_perp_ratio,500,0.9631502133775226,0.9691070261092282,0.9349605150062091,0.990542465946586,0.5865350255652707,0.9997636427026244
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_self_alignment,500,0.24998011027649045,0.24664047360420227,0.13720560669898987,0.3547519236803055,-0.030401866883039474,0.8099238276481628
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,2,attn_update,value_pre_self_value_norm,500,4.839324035763741,5.006681203842163,3.678069043159485,5.737633562088013,0.839323103427887,6.714231491088867
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_norm,500,2.0942145574092863,2.0698047876358032,1.6407419800758363,2.622132778167725,0.8260371685028076,3.5546352863311768
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_para_perp_ratio,500,0.27019880726002155,0.2509995400905609,0.13362735062837602,0.42134883105754856,0.01002062764018774,1.507228136062622
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_para_ratio,500,0.25439169870706657,0.24344790255955462,0.1324499529746479,0.3882887231369562,0.010020124513893414,0.8332777240766819
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_perp_ratio,500,0.9606624478298791,0.9699139027309297,0.9215376619614307,0.9911894363100586,0.5528544217007716,0.9999497735630558
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_self_alignment,500,0.25439169983565807,0.2434478998184204,0.13244994282722475,0.38828874826431276,0.010020125657320023,0.8332778215408325
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,3,attn_update,value_pre_self_value_norm,500,6.6073249117136,6.899534225463867,4.856473779678345,7.591781520843506,0.906161904335022,9.151877403259277
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_norm,500,2.6199707486629484,2.5389891862869263,1.9827669143676758,3.374508428573608,0.8643416166305542,5.033596992492676
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_para_perp_ratio,500,0.2469462474659085,0.2413315773010254,0.15350633859634402,0.34855720996856693,0.06097142770886421,1.0145169496536255
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_para_ratio,500,0.2372056438179189,0.23459668843113712,0.1517290507082593,0.32913639084991775,0.06085841231594623,0.7121837668294159
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_perp_ratio,500,0.9684368084457534,0.9720928199746004,0.9442823555459356,0.9884221126974618,0.701992987361224,0.9981464067616115
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_self_alignment,500,0.2372056431248784,0.23459671437740326,0.15172902941703795,0.3291364073753357,0.06085841730237007,0.7121838331222534
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,4,attn_update,value_pre_self_value_norm,500,8.521130885720252,8.946234703063965,6.294774389266968,9.959194087982178,0.9399461150169373,12.200270652770996
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_norm,500,3.7583134462833403,3.7754582166671753,2.8490793228149416,4.736371088027955,1.9801520109176636,5.984493732452393
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_para_perp_ratio,500,0.37783318546414374,0.37322309613227844,0.24658660888671877,0.5081761837005615,0.13463589549064636,0.7772801518440247
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_para_ratio,500,0.34940309636819367,0.3496634921490518,0.23941520403980365,0.4530352266441872,0.13343198712560458,0.6136957758263544
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_perp_ratio,500,0.9329145492744296,0.9368753091143043,0.8914925494407426,0.9709173122841357,0.7895425509854176,0.9910580153450762
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_self_alignment,500,0.3494030967354774,0.34966349601745605,0.23941520899534224,0.45303523540496826,0.13343198597431183,0.6136957406997681
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,5,attn_update,value_pre_self_value_norm,500,9.71156528544426,10.18616533279419,7.446031141281128,11.491716957092285,1.495295524597168,12.910343170166016
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,6,attn_update,value_pre_norm,500,5.399277636051178,5.35461163520813,4.304940080642701,6.5532228469848635,3.043447494506836,9.638553619384766
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,6,attn_update,value_pre_para_perp_ratio,500,0.4081229324936867,0.39337748289108276,0.23708642423152926,0.5992252945899965,0.11995898187160492,0.8811584711074829
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,6,attn_update,value_pre_para_ratio,500,0.37020164634432623,0.366071803512316,0.23069130827200235,0.5140035679460835,0.11910507724159054,0.6611176227070289
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,6,attn_update,value_pre_perp_ratio,500,0.9218912225659275,0.9305865775042581,0.8577854562455677,0.9730266963156953,0.7502823358949202,0.9928816909781211
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,6,attn_update,value_pre_self_alignment,500,0.37020164565742014,0.36607179045677185,0.23069131523370742,0.5140035748481752,0.11910507827997208,0.6611175537109375
