source,prompt_idx,prompt_token_count,phase,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_norm,2232,15.979467319010833,12.479421615600586,1.9578519701957704,30.988619041442877,1.0056440830230713,110.69461822509766
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_para_perp_ratio,2232,0.47460716947292286,0.4767078310251236,0.23449927419424058,0.7090968906879425,0.02778806909918785,1.1108683347702026
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_para_ratio,2232,0.41554584463324207,0.4303142200395008,0.22830601423277458,0.5784319626076939,0.02777734601917108,0.7432214813862765
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_perp_ratio,2232,0.8979468088832039,0.9026791603695596,0.8157305246825601,0.9735894434252534,0.6690454835052426,0.9996141326514751
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_self_alignment,2232,0.4155209546167684,0.43031418323516846,0.22830599993467332,0.5784320950508117,-0.02777734398841858,0.7432215213775635
value_pre-c4_len1024-prefill-hidden-tokens32,0,982,prefill,value_pre_self_value_norm,2232,58.45736047871224,32.1775016784668,6.45729913711548,158.56425933837897,1.2972720861434937,453.466796875
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_norm,2520,17.42714951686443,13.352970600128174,2.233628797531128,34.68349151611328,1.0401614904403687,102.83976745605469
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_para_perp_ratio,2520,0.5109695650141922,0.5139530003070831,0.2722292125225067,0.7483630180358887,0.00944053940474987,1.0462859869003296
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_para_ratio,2520,0.44185245466234657,0.4571139833645639,0.26267008112510304,0.5991608709938981,0.009440117952232508,0.7229162706944509
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_perp_ratio,2520,0.8860343596218592,0.8894081244835065,0.8006286499802948,0.9648857224697536,0.6909356156348476,0.9999554040967347
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_self_alignment,2520,0.44182832680443035,0.45711396634578705,0.26267007291316985,0.5991608440876007,-0.030401866883039474,0.7229163646697998
value_pre-c4_len1024-prefill-hidden-tokens32,1,1112,prefill,value_pre_self_value_norm,2520,59.41545093296066,32.417829513549805,7.047544622421265,163.2455383300781,1.3764643669128418,426.32257080078125
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_norm,2160,17.030490216778386,13.25977897644043,2.2056165456771852,32.44309730529788,1.039456844329834,135.818603515625
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_para_perp_ratio,2160,0.48991069017599026,0.49158477783203125,0.24265805035829546,0.7381293892860413,0.04600438475608826,1.0526351928710938
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_para_ratio,2160,0.42558953479646155,0.44116175212874165,0.23581463082856777,0.5938700664875464,0.045955781001635956,0.725000528766048
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_perp_ratio,2160,0.8926260861708827,0.897427601245623,0.8045609338699604,0.9717980751689818,0.6887481752462492,0.9989434713201838
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_self_alignment,2160,0.42558953363482876,0.44116173684597015,0.2358146756887436,0.5938700437545776,0.045955780893564224,0.7250005602836609
value_pre-c4_len1024-prefill-hidden-tokens32,2,956,prefill,value_pre_self_value_norm,2160,65.67298819648998,33.16987991333008,6.755949783325195,173.9820159912111,1.3460837602615356,673.8373413085938
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_norm,2052,17.710958287323194,11.495173931121826,2.2124420642852782,37.97567481994629,1.019386887550354,133.30776977539062
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_para_perp_ratio,2052,0.48449099985210925,0.48261916637420654,0.23484621942043307,0.7268535137176514,0.03818539157509804,1.120394229888916
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_para_ratio,2052,0.4214465294833228,0.43464712650433635,0.22862612452337458,0.5879498801291965,0.03815758257117651,0.7460541657328191
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_perp_ratio,2052,0.8943623385050018,0.9006007365797188,0.808897347867506,0.9735143231530483,0.6658854291448018,0.9992716963594668
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_self_alignment,2052,0.42144652920254083,0.4346471279859543,0.22862612903118137,0.5879498779773712,0.03815758228302002,0.7460540533065796
value_pre-c4_len1024-prefill-hidden-tokens32,3,902,prefill,value_pre_self_value_norm,2052,68.6062783507692,30.091139793395996,6.6382176876068115,199.5954421997071,1.2528170347213745,551.1363525390625
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_norm,2160,16.62520782025876,13.11001443862915,1.9748446941375732,33.25430183410646,0.7734532952308655,192.97427368164062
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_para_perp_ratio,2160,0.5116065993680861,0.5167441070079803,0.23985862731933594,0.7458242416381836,0.040179844945669174,2.2792153358459473
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_para_ratio,2160,0.43873046159795775,0.4590742970251305,0.23324294909645166,0.5978555642625136,0.040147453750380376,0.9157373742121183
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_perp_ratio,2160,0.8852887340141422,0.8883978251484042,0.8016038362173894,0.9724184459852526,0.40177747870854863,0.999193835119493
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_self_alignment,2160,0.4386521255252538,0.45907431840896606,0.23324296027421954,0.5978555858135224,-0.08460323512554169,0.9157372713088989
value_pre-c4_len1024-prefill-hidden-tokens32,4,954,prefill,value_pre_self_value_norm,2160,56.80934053099266,31.927749633789062,5.91712565422058,152.19145660400392,0.8849920034408569,389.0942077636719
value_pre-c4_len1024-prefill-hidden-tokens32,5,1135,prefill,value_pre_norm,2556,16.546424072533146,12.784929275512695,2.127249836921692,32.95209503173828,1.0503525733947754,155.89105224609375
value_pre-c4_len1024-prefill-hidden-tokens32,5,1135,prefill,value_pre_para_perp_ratio,2556,0.5048993795192677,0.5088501870632172,0.243907630443573,0.7533223330974579,0.01002062764018774,1.140108346939087
value_pre-c4_len1024-prefill-hidden-tokens32,5,1135,prefill,value_pre_para_ratio,2556,0.4354118512660434,0.4535126276758214,0.23696096118422338,0.6016968836292843,0.010020124513893414,0.7517901987635423
value_pre-c4_len1024-prefill-hidden-tokens32,5,1135,prefill,value_pre_perp_ratio,2556,0.8872279173089477,0.8912497955376788,0.7987244162784239,0.9715192428056083,0.6594023852816104,0.9999497735630558
