source,phase,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_norm,18000,16.878815507825877,12.783811569213867,2.127622961997986,33.654831695556645,0.744260311126709,192.97427368164062
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_para_perp_ratio,18000,0.49675270598200666,0.49814659357070923,0.24616446644067763,0.7373828649520875,0.00944053940474987,2.2792153358459473
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_para_ratio,18000,0.43055797941815976,0.44588593588790865,0.23902876822728591,0.5934810615791377,0.009440117952232508,0.9157373742121183
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_perp_ratio,18000,0.8904657228779999,0.8950898056309677,0.8048479312717249,0.971012498949248,0.40177747870854863,0.9999554040967347
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_self_alignment,18000,0.43053652205126774,0.44588592648506165,0.23902876824140548,0.5934811055660248,-0.08460323512554169,0.9157372713088989
value_pre-c4_len1024-prefill-hidden-tokens32,prefill,value_pre_self_value_norm,18000,61.21548400997122,32.06256866455078,6.626860094070435,164.98580169677734,0.839323103427887,673.8373413085938
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_norm,2196,15.954149721533005,11.627656936645508,2.0907028913497925,32.93473815917969,1.0880376100540161,116.26919555664062
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_para_perp_ratio,2196,0.5033778184955942,0.5050549805164337,0.26636049151420593,0.7459814548492432,0.002214971696957946,1.0294687747955322
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_para_ratio,2196,0.43614773611836044,0.45081966172754906,0.25738642844255155,0.597936566572056,0.0022149662532370737,0.717298652689139
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_perp_ratio,2196,0.888528852829393,0.892615052301373,0.8015434730202795,0.9663085398204758,0.6967658186828686,0.9999975533584715
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_self_alignment,2196,0.4361477371183087,0.450819656252861,0.2573864459991455,0.597936600446701,0.002214968204498291,0.7172986268997192
value_pre-c4_len128-prefill-hidden-tokens32,prefill,value_pre_self_value_norm,2196,61.11202444714275,31.83773136138916,6.368912696838379,165.38208770751953,1.3319061994552612,534.961669921875
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_norm,36468,17.168871947030848,13.207213878631592,2.074144148826599,34.83801116943361,0.7172008752822876,190.11119079589844
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_para_perp_ratio,36468,0.5042002793594279,0.5074838399887085,0.24856437295675277,0.7498891055583958,0.002038045786321163,1.7098957300186157
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_para_ratio,36468,0.4354530367418887,0.45254453926504973,0.24122413477881605,0.599943229526432,0.0020380414382389998,0.8632156800328868
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_perp_ratio,36468,0.8877330538278776,0.8917417763906705,0.8000425896638661,0.9704694545695531,0.5048352594220733,0.9999978926931982
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_self_alignment,36468,0.43544634620563183,0.45254455506801605,0.24122413396835327,0.599943256378174,-0.06410099565982819,0.8632156848907471
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,value_pre_self_value_norm,36468,60.57615513062875,32.053489685058594,6.613298749923706,163.685092163086,0.7936301827430725,626.5011596679688
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_norm,9000,16.957964925090472,12.418904781341553,2.149826741218567,34.56792564392091,0.8103210926055908,164.8384552001953
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_para_perp_ratio,9000,0.49505533879581426,0.4960038959980011,0.24245106726884844,0.7448148131370544,0.0030395789071917534,1.192358374595642
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_para_ratio,9000,0.42861501284819753,0.4443473570940126,0.23562463617877483,0.5973352512266762,0.003039564893278204,0.7662049495784463
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_perp_ratio,9000,0.8907010736773725,0.8958545759527158,0.8019916415549427,0.9718440885105601,0.6425962169554801,0.9999953895288296
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_self_alignment,9000,0.4285991646687552,0.4443473666906357,0.23562464714050294,0.5973352551460266,-0.029426146298646927,0.7662049531936646
value_pre-c4_len512-prefill-hidden-tokens32,prefill,value_pre_self_value_norm,9000,63.39718771013286,31.71342182159424,6.618847036361695,173.33429718017578,0.9125909209251404,589.9577026367188
