Step,project_20260402_c4b7f427/run_20260430_286be9fc/cn,project_20260402_c4b7f427/run_20260417_f5116792/cn,project_20260402_c4b7f427/run_20260417_5471a202/cn
24240,,2.743248,
24341,,2.758638,
24442,,2.753826,
24543,,2.751437,
24644,,2.753023,
24745,,2.754445,
24846,,2.750985,
24947,,2.755213,
25048,,2.746502,
25149,,2.753062,
25250,,2.750054,
25351,,2.751728,
25452,,2.746922,
25553,,2.746762,
25654,,2.747285,
25755,,2.746437,
25856,,2.744605,
25957,,2.745803,
26058,,2.748827,
26159,,2.752549,
26260,,2.750576,
26361,,2.747878,
26462,,2.744501,
26563,,2.737012,
26664,,2.747154,
26765,,2.747536,
26866,,2.747954,
26967,,2.742837,
27068,,2.752107,
27169,,2.737575,
27270,,2.742574,
27371,,2.735885,
27472,,2.742288,
27573,,2.738900,
27674,,2.736694,
27775,,2.740825,
27876,,2.745947,
27977,,2.736005,
28078,,2.731452,
28179,,2.736329,
28280,,2.737247,
28381,,2.739028,
28482,,2.736508,
28583,,2.737976,
28684,,2.744301,
28785,,2.741072,
28886,,2.736802,
28987,,2.735887,
29088,,2.739685,
29189,,2.742664,
29290,,2.736245,
29391,,2.738238,
29492,,2.740202,
29593,,2.737083,
29694,,2.738561,
29795,,2.739624,
29896,,2.743387,
29997,,2.738074,
30098,,2.739858,
30199,,2.740241,
30300,,2.739112,
30401,,2.723043,
30502,,2.744488,
30603,,2.736660,
