method	focus_layer	component	alpha	para_abs	perp_abs	perp_ratio	run_dir
wanda_unstructured_l6	6	mlp_out	-0.15779151022434235	1.692564845085144	2.9623241424560547	0.7584559321403503	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l6
wanda_unstructured_l7	7	attn_out	-0.13596394658088684	0.8226726651191711	1.5956922769546509	0.7889630794525146	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l7
wanda_unstructured_l7	7	block_out	-0.028528762981295586	0.9162507057189941	4.007727146148682	0.9479937553405762	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l7
wanda_unstructured_l7	7	mlp_out	-0.19487953186035156	2.128614902496338	3.254035234451294	0.7060779929161072	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l7
wanda_unstructured_l8	8	attn_out	-0.14034591615200043	1.213133454322815	2.454793691635132	0.8044250011444092	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l8
wanda_unstructured_l8	8	block_out	-0.03962971270084381	1.4624028205871582	5.950880527496338	0.9363043904304504	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l8
wanda_unstructured_l8	8	mlp_out	-0.2078113704919815	3.024970293045044	4.943058490753174	0.7188501358032227	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l8
wanda_unstructured_l9	9	attn_out	-0.10878727585077286	0.8630115389823914	1.9703360795974731	0.8367573618888855	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l9
wanda_unstructured_l9	9	block_out	-0.02289535664021969	0.8995754718780518	5.665487766265869	0.9764001965522766	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l9
wanda_unstructured_l9	9	mlp_out	-0.17403782904148102	2.711634874343872	4.963718414306641	0.7722461819648743	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l9
wanda_unstructured_l10	10	attn_out	-0.14374394714832306	1.3856033086776733	2.9697206020355225	0.8189863562583923	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l10
wanda_unstructured_l10	10	block_out	-0.03183329477906227	1.2217937707901	5.871653079986572	0.9550512433052063	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l10
wanda_unstructured_l10	10	mlp_out	-0.19017142057418823	2.8308773040771484	5.116942882537842	0.7629578709602356	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l10
wanda_unstructured_l11	11	attn_out	-0.1510739028453827	1.323696255683899	2.6013429164886475	0.7947206497192383	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l11
wanda_unstructured_l11	11	block_out	-0.018672281876206398	0.7609856128692627	5.669195652008057	0.977281391620636	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l11
wanda_unstructured_l11	11	mlp_out	-0.16724556684494019	2.382643461227417	4.955860614776611	0.8065819144248962	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l11
wanda_unstructured_l12	12	attn_out	-0.1316576600074768	1.376800537109375	2.742584228515625	0.7996892333030701	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l12
wanda_unstructured_l12	12	block_out	-0.025250382721424103	1.0632935762405396	5.616611480712891	0.9589560031890869	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l12
