method,component,layer,alpha,alpha_std,para_abs,para_abs_std,perp_abs,perp_abs_std,x_norm,x_norm_std,delta_norm,delta_norm_std,delta_over_x,delta_over_x_std,para_over_x,para_over_x_std,perp_over_x,perp_over_x_std,perp_ratio,perp_ratio_std,count
dense_baseline_track,block_out,0,-1.0,0.0,7.808135509490967,1.257848858833313,0.0,0.0,7.808135509490967,1.257848858833313,7.808135509490967,1.257848858833313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,1,-1.0,0.0,3.4068033695220947,0.914424479007721,0.0,0.0,3.4068033695220947,0.914424479007721,3.4068033695220947,0.914424479007721,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,2,-1.0,0.0,4.415557384490967,0.9577285647392273,0.0,0.0,4.415557384490967,0.9577285647392273,4.415557384490967,0.9577285647392273,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,3,-1.0,0.0,7.176808834075928,4.843797206878662,0.0,0.0,7.176808834075928,4.843797206878662,7.176808834075928,4.843797206878662,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,4,-1.0,0.0,9.3059663772583,1.5761706829071045,0.0,0.0,9.3059663772583,1.5761706829071045,9.3059663772583,1.5761706829071045,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,5,-1.0,0.0,11.57024097442627,3.96524977684021,0.0,0.0,11.57024097442627,3.96524977684021,11.57024097442627,3.96524977684021,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,6,-1.0,0.0,12.216097831726074,2.1704835891723633,0.0,0.0,12.216097831726074,2.1704835891723633,12.216097831726074,2.1704835891723633,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,7,-1.0,0.0,12.126053810119629,3.690196990966797,0.0,0.0,12.126053810119629,3.690196990966797,12.126053810119629,3.690196990966797,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,8,-1.0,0.0,16.51900291442871,3.35119366645813,0.0,0.0,16.51900291442871,3.35119366645813,16.51900291442871,3.35119366645813,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,9,-1.0,0.0,16.35334014892578,5.08793830871582,0.0,0.0,16.35334014892578,5.08793830871582,16.35334014892578,5.08793830871582,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,10,-1.0,0.0,16.548221588134766,3.941051959991455,0.0,0.0,16.548221588134766,3.941051959991455,16.548221588134766,3.941051959991455,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,11,-1.0,0.0,15.577537536621094,3.3646488189697266,0.0,0.0,15.577537536621094,3.3646488189697266,15.577537536621094,3.3646488189697266,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,12,-1.0,0.0,16.199983596801758,2.913947343826294,0.0,0.0,16.199983596801758,2.913947343826294,16.199983596801758,2.913947343826294,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,13,-1.0,0.0,16.054533004760742,3.3017218112945557,0.0,0.0,16.054533004760742,3.3017218112945557,16.054533004760742,3.3017218112945557,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,14,-1.0,0.0,16.032020568847656,1.8471813201904297,0.0,0.0,16.032020568847656,1.8471813201904297,16.032020568847656,1.8471813201904297,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,15,-1.0,0.0,15.109306335449219,3.7707455158233643,0.0,0.0,15.109306335449219,3.7707455158233643,15.109306335449219,3.7707455158233643,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,16,-1.0,0.0,14.728691101074219,2.667677164077759,0.0,0.0,14.728691101074219,2.667677164077759,14.728691101074219,2.667677164077759,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,17,-1.0,0.0,15.450333595275879,2.47759747505188,0.0,0.0,15.450333595275879,2.47759747505188,15.450333595275879,2.47759747505188,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,18,-1.0,0.0,16.776098251342773,3.1985342502593994,0.0,0.0,16.776098251342773,3.1985342502593994,16.776098251342773,3.1985342502593994,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,19,-1.0,0.0,22.308961868286133,2.6669933795928955,0.0,0.0,22.308961868286133,2.6669933795928955,22.308961868286133,2.6669933795928955,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,20,-1.0,0.0,19.29698944091797,3.5536956787109375,0.0,0.0,19.29698944091797,3.5536956787109375,19.29698944091797,3.5536956787109375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,21,-1.0,0.0,21.281774520874023,1.4427553415298462,0.0,0.0,21.281774520874023,1.4427553415298462,21.281774520874023,1.4427553415298462,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,22,-1.0,0.0,29.8717098236084,2.557027816772461,0.0,0.0,29.8717098236084,2.557027816772461,29.8717098236084,2.557027816772461,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
