setting	method	focus_layer	component	layer	alpha	alpha_std	para_abs	para_abs_std	perp_abs	perp_abs_std	x_norm	x_norm_std	delta_norm	delta_norm_std	delta_over_x	delta_over_x_std	para_over_x	para_over_x_std	perp_over_x	perp_over_x_std	perp_ratio	perp_ratio_std	count	run_dir
awq_native	awq_native_l0	0	attn_out	0	-0.012054136954247952	0.004226004704833031	0.04519525542855263	0.01416486594825983	0.19791358709335327	0.028521448373794556	3.8522732257843018	0.5188212990760803	0.20369581878185272	0.027102289721369743	0.05474517121911049	0.015414322726428509	0.012054137885570526	0.004226000979542732	0.0532238632440567	0.015449733473360538	0.9420607686042786	0.04079267755150795	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native	awq_native_l0	0	block_out	0	-0.02919529564678669	0.006664528511464596	0.22421880066394806	0.052014630287885666	0.4502042233943939	0.23670953512191772	7.808135509490967	1.257848858833313	0.5135319828987122	0.2190427929162979	0.06362781673669815	0.015975814312696457	0.02919529564678669	0.006664528511464596	0.05517665669322014	0.019038939848542213	0.7316308617591858	0.1577768176794052	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native	awq_native_l0	0	mlp_out	0	-0.043446194380521774	0.010499599389731884	0.19819088280200958	0.04637414962053299	0.4035489559173584	0.23660309612751007	4.924187183380127	1.8690681457519531	0.4586765766143799	0.22333553433418274	0.09020159393548965	0.01069317851215601	0.043446194380521774	0.010499599389731884	0.07729987800121307	0.016661005094647408	0.7265346050262451	0.15163590013980865	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native	awq_native_l1	1	attn_out	1	-0.0117572620511055	0.007655831519514322	0.032102104276418686	0.024007394909858704	0.22491829097270966	0.034520223736763	2.587146520614624	0.3294939696788788	0.22801892459392548	0.03733835369348526	0.08799048513174057	0.006740655284374952	0.0117572620511055	0.007655831519514322	0.08689092844724655	0.006393996998667717	0.9759231209754944	0.02477877028286457	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native	awq_native_l1	1	block_out	1	-0.016359852626919746	0.011636818759143353	0.06253387778997421	0.04519102722406387	0.333385705947876	0.12125401198863983	3.4068033695220947	0.914424479007721	0.3405640125274658	0.125767320394516	0.0981513038277626	0.010807446204125881	0.01724318601191044	0.010282649658620358	0.09616527706384659	0.009982886724174023	0.9616362452507019	0.03069382719695568	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native	awq_native_l1	1	mlp_out	1	-0.028211278840899467	0.02366091124713421	0.06278907507658005	0.04258202761411667	0.24554544687271118	0.13111713528633118	2.155550956726074	0.9247154593467712	0.2561551630496979	0.1327572911977768	0.11587388068437576	0.02018831856548786	0.03003937192261219	0.02129204384982586	0.11040571331977844	0.017005521804094315	0.9181613922119141	0.08612940460443497	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native	awq_native_l10	10	attn_out	10	-0.015597584657371044	0.022102899849414825	0.21544413268566132	0.1599591225385666	1.5597352981567383	0.1821419894695282	9.636845588684082	1.359122395515442	1.5819010734558105	0.18852652609348297	0.16474519670009613	0.007959064096212387	0.021959885954856873	0.015798300504684448	0.16249707341194153	0.00819759164005518	0.973171055316925	0.030624812468886375	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native	awq_native_l10	10	block_out	10	-0.024698035791516304	0.0069669028744101524	0.4090079069137573	0.1455513834953308	2.431581735610962	0.46490323543548584	16.548221588134766	3.941051959991455	2.468583822250366	0.47253718972206116	0.15070758759975433	0.00820451881736517	0.024698035791516304	0.006966907065361738	0.14848452806472778	0.008596536703407764	0.9704985618591309	0.016003785654902458	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native	awq_native_l10	10	mlp_out	10	-0.028637902811169624	0.0075907837599515915	0.43018707633018494	0.14006885886192322	2.376770257949829	0.4347008764743805	15.17504596710205	3.5631487369537354	2.418473482131958	0.4400782287120819	0.16126923263072968	0.010185924358665943	0.028637906536459923	0.00759076839312911	0.15850278735160828	0.010518253780901432	0.9657846093177795	0.019460933282971382	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native	awq_native_l11	11	attn_out	11	-0.027878371998667717	0.015400436706840992	0.2319256216287613	0.11006368696689606	1.407530665397644	0.15306740999221802	8.743943214416504	1.4012089967727661	1.4317668676376343	0.14324627816677094	0.16615234315395355	0.020396338775753975	0.027878371998667717	0.015400436706840992	0.16314242780208588	0.019818810746073723	0.9649866223335266	0.029130591079592705	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l11
