method	focus_layer	component	alpha	para_abs	perp_abs	perp_ratio	run_dir
wanda_2_4_l0	0	attn_out	-0.14953787624835968	0.5736265778541565	0.5909339189529419	0.5097793340682983	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l0
wanda_2_4_l0	0	block_out	-0.2559010088443756	2.066368818283081	1.2437998056411743	0.259877473115921	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l0
wanda_2_4_l0	0	mlp_out	-0.34780454635620117	1.7716785669326782	0.9041820168495178	0.1985091120004654	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l0
wanda_2_4_l1	1	attn_out	-0.18802332878112793	0.48462581634521484	0.6419825553894043	0.6341650485992432	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l1
wanda_2_4_l1	1	block_out	-0.03694039210677147	0.3761686384677887	1.152188777923584	0.9094812273979187	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l1
wanda_2_4_l1	1	mlp_out	-0.23182694613933563	0.5481385588645935	0.7126345634460449	0.6701590418815613	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l1
wanda_2_4_l2	2	attn_out	-0.24845130741596222	0.6766729354858398	0.7699645161628723	0.5640527606010437	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l2
wanda_2_4_l2	2	block_out	-0.055614128708839417	0.67280513048172	1.6908583641052246	0.8594914078712463	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l2
wanda_2_4_l2	2	mlp_out	-0.2972601652145386	1.0763529539108276	1.065761923789978	0.5052995085716248	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l2
wanda_2_4_l3	3	attn_out	-0.23285406827926636	0.817714512348175	1.0221326351165771	0.6121204495429993	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l3
wanda_2_4_l3	3	block_out	-0.09697269648313522	1.7158912420272827	2.634526252746582	0.7588615417480469	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l3
wanda_2_4_l3	3	mlp_out	-0.39756762981414795	2.4255313873291016	1.510891079902649	0.3815929591655731	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l3
wanda_2_4_l4	4	attn_out	-0.27714118361473083	0.8990535140037537	1.17367684841156	0.634650707244873	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l4
wanda_2_4_l4	4	block_out	-0.07949303835630417	1.6322647333145142	3.347370147705078	0.7948517799377441	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l4
wanda_2_4_l4	4	mlp_out	-0.2638329267501831	2.327954053878784	2.561542272567749	0.5445002317428589	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l4
wanda_2_4_l5	5	attn_out	-0.22561191022396088	1.1695908308029175	1.6663923263549805	0.6757683753967285	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l5
wanda_2_4_l5	5	block_out	-0.07627549022436142	2.0994982719421387	4.245951175689697	0.7994484901428223	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l5
wanda_2_4_l5	5	mlp_out	-0.2981134355068207	3.1359336376190186	3.060946464538574	0.501932680606842	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l5
wanda_2_4_l6	6	attn_out	-0.24683845043182373	1.752437710762024	2.390934944152832	0.6503716111183167	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l6
wanda_2_4_l6	6	block_out	-0.05612489581108093	1.6101216077804565	5.27388858795166	0.9078219532966614	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l6
wanda_2_4_l6	6	mlp_out	-0.3351810872554779	3.5250089168548584	3.6488497257232666	0.517216145992279	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l6
wanda_2_4_l7	7	attn_out	-0.187658429145813	1.1626595258712769	3.6124727725982666	0.904251754283905	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l7
wanda_2_4_l7	7	block_out	-0.06530215591192245	2.070422887802124	6.5515875816345215	0.9051439166069031	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l7
wanda_2_4_l7	7	mlp_out	-0.39424118399620056	4.258442401885986	4.463973522186279	0.5365431904792786	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l7
wanda_2_4_l8	8	attn_out	-0.2795475423336029	2.3979995250701904	3.246577024459839	0.6461941599845886	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l8
